iter	Accuracy	MultiClass
0	0.6052631579	1.083622195
1	0.6148325359	1.065302555
2	0.6255980861	1.048405564
3	0.6172248804	1.036518856
4	0.6208133971	1.023325993
5	0.6232057416	1.012442282
6	0.6220095694	1.000483807
7	0.6220095694	0.9897136315
8	0.6255980861	0.9796383615
9	0.6267942584	0.9729549358
10	0.6267942584	0.964279329
11	0.6255980861	0.9572789522
12	0.6255980861	0.9513611845
13	0.6244019139	0.9435368579
14	0.6267942584	0.936259932
15	0.6255980861	0.9293863406
16	0.6244019139	0.922577115
17	0.6279904306	0.9158131062
18	0.6315789474	0.9095045853
19	0.6327751196	0.9043646536
20	0.6339712919	0.8999925459
21	0.6351674641	0.8954907829
22	0.6327751196	0.8896163787
23	0.6315789474	0.8862070435
24	0.6351674641	0.8819607515
25	0.6387559809	0.8774542079
26	0.6363636364	0.8744949293
27	0.6411483254	0.8710738876
28	0.6387559809	0.8674975596
29	0.6387559809	0.8648853761
30	0.6387559809	0.8612714068
31	0.6375598086	0.8584992953
32	0.6399521531	0.8557123204
33	0.6399521531	0.8528686576
34	0.6411483254	0.8498866278
35	0.6399521531	0.8461019344
36	0.6411483254	0.8445322236
37	0.6411483254	0.8414231875
38	0.6411483254	0.838488479
39	0.6459330144	0.8356383506
40	0.6459330144	0.8326281473
41	0.6447368421	0.8302001046
42	0.6459330144	0.8284081468
43	0.6483253589	0.8257555863
44	0.6495215311	0.8229844407
45	0.6471291866	0.8212425553
46	0.6507177033	0.8189744422
47	0.6471291866	0.8173538657
48	0.6519138756	0.8150153193
49	0.6495215311	0.8137662971
50	0.6507177033	0.8115146942
51	0.6495215311	0.8093353865
52	0.6507177033	0.8075454378
53	0.6519138756	0.8059905314
54	0.6531100478	0.8041513955
