iter	Passed	Remaining
0	54	27066
1	63	15865
2	72	11943
3	78	9769
4	83	8303
5	89	7370
6	94	6673
7	99	6122
8	104	5721
9	109	5356
10	115	5118
11	119	4872
12	124	4652
13	130	4524
14	134	4337
15	139	4232
16	144	4100
17	149	4006
18	154	3904
19	157	3791
20	162	3713
21	167	3647
22	172	3574
23	176	3503
24	181	3449
25	187	3418
26	193	3382
27	197	3328
28	201	3276
29	206	3231
30	210	3187
31	214	3142
32	218	3097
33	222	3056
34	227	3016
35	231	2981
36	235	2944
37	242	2947
38	247	2926
39	252	2903
40	257	2884
41	261	2855
42	266	2829
43	270	2807
44	275	2782
45	279	2758
46	284	2745
47	290	2734
48	295	2717
49	299	2694
50	304	2680
51	309	2664
52	314	2656
53	320	2645
54	325	2632
